data.name,cv.type,test.fold,seed,init.name,maxIterations,n.subtrain.diffs,aum.type,steps,sum.iterations,mean.iterations
ATAC_JV_adipose,equal_labels,1,1,IntervalRegressionCV,max.auc,1142,count,2,14,7
ATAC_JV_adipose,equal_labels,1,1,IntervalRegressionCV,min.aum,1142,count,274,502497,1833.93065693431
ATAC_JV_adipose,equal_labels,1,1,zero,max.auc,1142,count,1,1,1
ATAC_JV_adipose,equal_labels,1,1,zero,min.aum,1142,count,134,600975,4484.88805970149
ATAC_JV_adipose,equal_labels,1,2,IntervalRegressionCV,max.auc,1142,count,2,14,7
ATAC_JV_adipose,equal_labels,1,2,IntervalRegressionCV,min.aum,1142,count,274,502497,1833.93065693431
ATAC_JV_adipose,equal_labels,1,2,zero,max.auc,1142,count,1,5,5
ATAC_JV_adipose,equal_labels,1,2,zero,min.aum,1142,count,188,1017304,5411.1914893617
ATAC_JV_adipose,equal_labels,1,3,IntervalRegressionCV,max.auc,1142,count,2,14,7
ATAC_JV_adipose,equal_labels,1,3,IntervalRegressionCV,min.aum,1142,count,274,502497,1833.93065693431
ATAC_JV_adipose,equal_labels,1,3,zero,max.auc,1142,count,1,2,2
ATAC_JV_adipose,equal_labels,1,3,zero,min.aum,1142,count,184,932753,5069.3097826087
ATAC_JV_adipose,equal_labels,1,4,IntervalRegressionCV,max.auc,1142,count,2,14,7
ATAC_JV_adipose,equal_labels,1,4,IntervalRegressionCV,min.aum,1142,count,274,502497,1833.93065693431
ATAC_JV_adipose,equal_labels,1,4,zero,max.auc,1142,count,1,10,10
ATAC_JV_adipose,equal_labels,1,4,zero,min.aum,1142,count,95,793395,8351.52631578947
ATAC_JV_adipose,equal_labels,1,1,IntervalRegressionCV,max.auc,1142,rate,2,11,5.5
ATAC_JV_adipose,equal_labels,1,1,IntervalRegressionCV,min.aum,1142,rate,133,333348,2506.37593984962
ATAC_JV_adipose,equal_labels,1,1,zero,max.auc,1142,rate,1,1,1
ATAC_JV_adipose,equal_labels,1,1,zero,min.aum,1142,rate,135,762053,5644.83703703704
ATAC_JV_adipose,equal_labels,1,2,IntervalRegressionCV,max.auc,1142,rate,2,11,5.5
ATAC_JV_adipose,equal_labels,1,2,IntervalRegressionCV,min.aum,1142,rate,133,333348,2506.37593984962
ATAC_JV_adipose,equal_labels,1,2,zero,max.auc,1142,rate,1,5,5
ATAC_JV_adipose,equal_labels,1,2,zero,min.aum,1142,rate,76,977352,12859.8947368421
ATAC_JV_adipose,equal_labels,1,3,IntervalRegressionCV,max.auc,1142,rate,2,11,5.5
ATAC_JV_adipose,equal_labels,1,3,IntervalRegressionCV,min.aum,1142,rate,133,333348,2506.37593984962
ATAC_JV_adipose,equal_labels,1,3,zero,max.auc,1142,rate,1,2,2
ATAC_JV_adipose,equal_labels,1,3,zero,min.aum,1142,rate,157,807453,5143.0127388535
ATAC_JV_adipose,equal_labels,1,4,IntervalRegressionCV,max.auc,1142,rate,2,11,5.5
ATAC_JV_adipose,equal_labels,1,4,IntervalRegressionCV,min.aum,1142,rate,133,333348,2506.37593984962
ATAC_JV_adipose,equal_labels,1,4,zero,max.auc,1142,rate,1,7,7
ATAC_JV_adipose,equal_labels,1,4,zero,min.aum,1142,rate,61,770187,12626.0163934426
ATAC_JV_adipose,equal_labels,2,1,IntervalRegressionCV,max.auc,1159,count,2,14,7
ATAC_JV_adipose,equal_labels,2,1,IntervalRegressionCV,min.aum,1159,count,142,374894,2640.0985915493
ATAC_JV_adipose,equal_labels,2,1,zero,max.auc,1159,count,1,8,8
ATAC_JV_adipose,equal_labels,2,1,zero,min.aum,1159,count,278,753994,2712.20863309353
ATAC_JV_adipose,equal_labels,2,2,IntervalRegressionCV,max.auc,1159,count,2,14,7
ATAC_JV_adipose,equal_labels,2,2,IntervalRegressionCV,min.aum,1159,count,142,374894,2640.0985915493
ATAC_JV_adipose,equal_labels,2,2,zero,max.auc,1159,count,1,8,8
ATAC_JV_adipose,equal_labels,2,2,zero,min.aum,1159,count,154,995977,6467.38311688312
ATAC_JV_adipose,equal_labels,2,3,IntervalRegressionCV,max.auc,1159,count,2,14,7
ATAC_JV_adipose,equal_labels,2,3,IntervalRegressionCV,min.aum,1159,count,142,374894,2640.0985915493
ATAC_JV_adipose,equal_labels,2,3,zero,max.auc,1159,count,1,2,2
ATAC_JV_adipose,equal_labels,2,3,zero,min.aum,1159,count,326,802613,2462.00306748466
ATAC_JV_adipose,equal_labels,2,4,IntervalRegressionCV,max.auc,1159,count,2,14,7
ATAC_JV_adipose,equal_labels,2,4,IntervalRegressionCV,min.aum,1159,count,142,374894,2640.0985915493
ATAC_JV_adipose,equal_labels,2,4,zero,max.auc,1159,count,1,4,4
ATAC_JV_adipose,equal_labels,2,4,zero,min.aum,1159,count,98,789429,8055.39795918367
ATAC_JV_adipose,equal_labels,2,1,IntervalRegressionCV,max.auc,1159,rate,1,6,6
ATAC_JV_adipose,equal_labels,2,1,IntervalRegressionCV,min.aum,1159,rate,120,278303,2319.19166666667
ATAC_JV_adipose,equal_labels,2,1,zero,max.auc,1159,rate,1,8,8
ATAC_JV_adipose,equal_labels,2,1,zero,min.aum,1159,rate,194,718309,3702.62371134021
ATAC_JV_adipose,equal_labels,2,2,IntervalRegressionCV,max.auc,1159,rate,1,6,6
ATAC_JV_adipose,equal_labels,2,2,IntervalRegressionCV,min.aum,1159,rate,120,278303,2319.19166666667
ATAC_JV_adipose,equal_labels,2,2,zero,max.auc,1159,rate,1,8,8
ATAC_JV_adipose,equal_labels,2,2,zero,min.aum,1159,rate,165,1016849,6162.72121212121
ATAC_JV_adipose,equal_labels,2,3,IntervalRegressionCV,max.auc,1159,rate,1,6,6
ATAC_JV_adipose,equal_labels,2,3,IntervalRegressionCV,min.aum,1159,rate,120,278303,2319.19166666667
ATAC_JV_adipose,equal_labels,2,3,zero,max.auc,1159,rate,1,2,2
ATAC_JV_adipose,equal_labels,2,3,zero,min.aum,1159,rate,125,656372,5250.976
ATAC_JV_adipose,equal_labels,2,4,IntervalRegressionCV,max.auc,1159,rate,1,6,6
ATAC_JV_adipose,equal_labels,2,4,IntervalRegressionCV,min.aum,1159,rate,120,278303,2319.19166666667
ATAC_JV_adipose,equal_labels,2,4,zero,max.auc,1159,rate,1,5,5
ATAC_JV_adipose,equal_labels,2,4,zero,min.aum,1159,rate,96,771493,8036.38541666667
